Seite;Nr.;Datum;User;;Sterne;Überschrift;Bewertung (Worte)
;65;22. Aug 12;Mufti;;4;Sehr gutes Gerät mit leichten Verbesserungsmöglichkeiten;"Ich mach's kurz. Das Gerät ist auf alle Fälle jeden Cent wert. Allein der sehr geringe Stromverbrauch lässt kleinere Designfehler leicht verschmerzen. Mein 15 Jahre alter Liebherr-Schrank in nahezu gleicher Größe hatte noch mehr als das doppelte an Strom konsumiert, was über die Jahre ganz schöne Mehrkosten ausmachte.
Nun zu den kleinen Designproblemchen:
Eine zweite, eventuell abschaltbare, Leuchte in der Seite des Kühlteils würde die Ausleuchtung bei voller Beladung erheblich verbessern.
Anti-Fingerprint-Ausstattung ist eine leicht übertriebene Werbeaussage. Man sieht jeden einzelnen Abdruck, wegen der matten Oberfläche halt nur nicht so deutlich. Tatsächlich kann man sich aber auch angewöhnen, die Türen nur an den Griffen anzufassen, statt überall mit seinen Patschehändchen rumzubatzeln.
Die Temperaturanzeige sollte die Ist- und nicht die Soll-Temperaturen anzeigen. Immer ist im Hinterkopf der Gedanke, dass die Temperatur vielleicht doch nicht stimmt. Also, das hat Liebherr schon vor 15 Jahren deutlich besser gelöst.
Zum Wechsel des unteren Türanschlags muss der Schrank gekippt werden. Das ginge auch anders und besser. So braucht man eine zweite Person, um das Ding zu halten.
Die Mitlieferung eines einfachen Schlüssels zum Verstellen der vorderen Gehäusefüße wäre auch angebracht.
Mit den leisen, aber ständig irgendwo vorhandenen Glucks-, Krach- und Summgeräuschen kann man problemlos leben, es sei denn, man hört das Gras wachsen. Bestenfalls in einer Wohnküche mit ansonsten leisen Umgebungsgeräuschen könnte es vielleicht etwas nervig werden.
Grundsätzlich wäre zu wünschen, dass sich die Hersteller allgemein mehr Gedanken, auch um die kleinen Details machen, statt ständig Unmengen neuer, unausgereifter Modelle auf den Markt zu werfen.

Nachtrag: Im Laufe der Zeit hat sich ein deutlicher Mangel herausgestellt. Unter der untersten Schublade des Kühlteils sammelt sich ständig Kondenswasser, wofür aber kein Abfluss vorgesehen ist. Dieses läuft dann vorne an der Tür raus, rinnt runter zum Gefrierabteil und vereist dort. Kaum zu glauben, dass das der Entwicklungsabteilung einer Firma passiert, die seit Jahrzehnten Kühlgeräte baut. Eine enorm schwache und unverzeihliche Leistung.
"
;66;23. Aug 12;DW;;3;laut;"Ich versuche mich kurz zu halten und keinen Roman zu schreibe.
großer und energiesparender Kühlschrank. Das meiste Positive was hier geschrieben wurde, stimmt soweit.
Wir finden hat ein sehr modernes und recht helles Licht,.......

aber:

- Die Seitenwände sind aus billigen Blech und heben sich farblich von der Front ab. Das sieht nicht gut aus, wenn das Gerät einzeln steht, (auch sehr stoßempfindlich)
- Naja Antifingerprint?!? (hatte schon geschaut, ob es nicht einer ohne ist)
- Anlieferung: war relativ spät, und es wurde auch keine Verpackung mitgenommen. Lieferanten waren sehr kurz angebunden,
- Sehr viel größeren Innenraum wie ältere oder kleinere Geräte hat er nicht, wegen der starken Isolierung,
- ZU DEN GERÄUSCHEN: Ja er ist wirklich laut. (Wir haben ihn seit Mitte Juli) Sehr laute metallische, klappernde und blubbernde Geräusche!!! Ich meine nicht den Lüfter, den hört man wirklich kaum. Das ist nicht normal. Man hört ihn in weit entfernten Räumen und wenn man daneben in der Küche am Tisch sitzt muß man das Radio lauter machen, damit es nicht so nervt. Verstehe nicht, warum viele sagen er ist leise ( Leise war sein Vorgänger, ein 10 Jahre alter Privileg mit A). Hoffe nur, das wir nicht ein zurückgeschicktes Gerät erhalten haben.
- es gibt noch mehrere kleinere Punkte (wie kaum verstellbare Innenfächer usw.), will aber nicht kleinlich sein.

Haben ihn behalten, weil wir dringend einen brauchten und uns die ganze Rücklieferungsgeschichte ersparen wollten."
;67;24. Aug 12;mhaus;;5;Siemens KG39EAI40;"Sehr gutes Preis- / Leistungsverhältnis, geringer Verbrauch, großräumig und variable einstellbar, edles Design. CoolBox hält nahezu die Angaben des Herstellers
"
;68;25. Aug 12;sw72;;5;Top Gerät !!!;"Als noch 16 Jahren unser alter Kühlschrank das Zeitliche segnete, musste schnell ein neuer her.

Also mal ein bisschen bei Amazon gestöbert, und wir hatten uns für dieses Modell entschieden. Für meine Frau war ein Tiefkühlabteil und ein größerer Kühlraum als bei unserem alten wichtig. Für mich war natürlich der Stromverbrauch und die Betriebsgeräusche wichtig. Da in dem anderen Rezensionen immer wieder von einem unangenehmen oder gar lauten Betriebsgeräusch die Rede war, erwarteten wir die Lieferung mit etwas gemischten Gefühlen.

Lieferung:
-> TOP ! Pünktlich - Freundlich - Termingerecht

Aufstellung:
-> Simpel Hinstellen, mit der Wasserwaage ausrichten, die Stellfüße sind gut zugänglich (es liegt allerdings kein Schlüssel für die Füße bei)
-> Um den Kühlschrank besser öffnen zu können, haben wir die Türen von Rechtsanschlag auf Linksanschlag umgebaut, was auf Grund der beiliegenden bebilderten Anleitung in ca. 15-20 Min. ohne Probleme zu machen war
-> da der Kühlschrank bei uns frei in der Küche aufgestellt ist, ist der Abstand zur Wand doch etwas groß und man kann die Kühlrippen sehen. Hier hätte ein 2-3 cm längeres Gehäuse besser ausgesehen, aber da wir dies schon in anderen Rezensionen gelesen hatten, wussten wir das schon.

Inhalt/ Ablagen:
-> nachdem wir endlich alle Schutzstreifen und Klebestreifen entfernt hatten, ging es ans einräumen. Alle Ablagen sind gut zugänglich und stabil.
-> das große Gemüsefach hat meine Frau total begeistert.
-> Ablagen in der Tür sind O.K.
-> auch im Tiefkühler sich alle Fächer leichtgängig und machen einen stabilen Eindruck.

Geräusche:
-> Also alle denen es wie mir geht und sie sich nicht sicher sind wegen dem angesprochenen ""lauten"" Geräuschen, kann ich nur sagen:
Kein Problem ! Der Kühlschrank ist weder Laut noch macht er sonstige störende Geräusche !!! Wenn man die Tür schließt, läuft für eine bestimmte Zeit der Lüfter im Inneren was ein leises Summen verursacht. Der Kompressor ist nicht lauter als der unseres alten Kühlschrankes. Und da der Kühlschrank sehr gut gedämmt zu seien scheint, springt der Kompressor auch nur selten an.

Fazit:
-> KLARE KAUFEMPFEHLUNG !!! Groß , leise , sparsam (hoffentlich ;-) ) , macht einen sehr wertigen Eindruck !

Wir freuen uns auf hoffentlich wieder 16 Jahre mit diesem Gerät."
;69;26. Aug 12;Stephan;;3;Einfach viel zu laut;"Die positiven Eigenschaften des Kühlschranks sind von anderen hier zur Genüge beschrieben und stimmen auch weitestgehend.

Was allerdings wirklich nervt, ist die Lautstärke des Geräts. Wenn man eine offene Küche hat - oder wie bei uns die Küchen neben dem Wohnzimmer ist - sind die Geräusche doch mehr als deutlich zu hören. Unser 10 Jahre alte Vorgängerkühlschrank war deutlich leiser. Das ständige Blubbern und Knarzen sowie die Lüftung nerven auf Dauer doch sehr. Ich hatte gedacht, man gewöhnt sich daran, aber dem ist nicht so. Das Gerät ist einfach für ein top aktuelles Modell viel zu laut, da muss Siemens/Bosch wirklich dran arbeiten. Geringer Stromverbrauch hin oder her, soviele so laute Geräusche müssen wirklich nicht sein.

Um fair zu bleiben daher 3 von 5 Sternen, da Stromverbrauch (sofern der stimmt) und Verarbeitung ansonsten sehr gut sind."
;70;27. Aug 12;Köhler Gerhard;;5;Kühlschrank;Wieder hat alles prima geklappt. Wir waren sehr zufrieden. Weiter so. Der Kühlschrank ist von der Einteilung und Verarbeitung her hervorragend.
;71;28. Aug 12;"Carsten S. ""CAT""";;5;Artikel wie beschrieben;"Kurz und bündig!

Das Erscheinungsbild dieses Gerätes ist sehr schön, die Geräusche die hier immer wieder beschrieben werden, sind vorhanden und auch in der Betriebsanleitung erwähnt.
Also den Techniker kann man sich sparen, kommt für mich auch nicht in Frage, denn die Geräusch empfinde ich eher als angenehm, nicht störend (offene Küche)!
Preisleistung ist meiner Meinung nach Topp!
Lieferung und Service lobenswert, das betrifft Amazon genauso wie Hermes, die hätten ihn sogar bis in die Küche getragen und der ist richtig groß und schwer.

Kauftipp meinerseits!"
;72;30. Aug 12;Baumgart;;4;Siemens KG 39EAW40;"Lieferung durch Amazon sehr gut,zwei freundliche Herren brachten nach telefonischer Anmeldung den Kühlschrank, stellten ihn im Keller auf nahmen den alten Kühlschrank und die Verpackung wieder mit. Was will man mehr.
Zu dem Kühlschrank selber ein paar Anmerkungen. Er ist relativ laut er blubbert vor sich hin und springt auch sehr oft an.
In meiner Küche wollte ich ihn nicht haben, dort steht ein Liebherr von dem hört man gar nichts ausser einem leichten zischen.
Die Verarbeitung gegenüber dem Liebherr ist auch schlechter aber er kostet auch nur die hälfte, deshalb
passt bei dem Siemens das Preis/ Leistungsverhältnis zu 100%.Er hat viel Platz viele durchdachte Fächer und ist gut Beleuchtet
nur die Türen lassen sich nur mit einem kräftigen Ruck öffnen. Bei Liebherr geht auch das viel besser leichter."
;73;30. Aug 12;cornelia semrau;;5;Kann ich nur weiter empfehlen;Das Gerät ist einfach Klasse. Bei richtiger Ausrichtung fast geräuschlos.Gemüse bleibt mindestens eine Woche frisch und knackig.Kalte Getränke zu jeder Zeit. Viel Platz auch zum Einfrieren.
;74;02. Sep 12;F.H.;;4;Gut, aber die Dauer der Kühlphasen??;"Bechreibung, Lieferung, und Preis sehr gut. Optisch ist das Gerät auch sehr ansprechend. Die Ausnutzung der beiden Innenräume ist auch gut, bietet gut Platz für alles Nötige. Alles in allem für diesen Preis top.

Was mir jedoch in unserem offenen Koch-Ess-Wohnbereich aufgefallen ist, sind die (meiner Meinung nach) extrem langen Kühlphasen, was an dem bereits zu genüge beschriebenen Geräuschbild zu erkennen ist. Die vom Kühlschrank verursachten Geräusche sind für uns weniger ein Problem, ein Kühlgerät blubbert und zischt nunmal. Die Laufzeiten jedoch dehnen sich bei unserem Gerät auf bis zu drei Stunden am Stück aus.
Bsp: Von 20-23 Uhr vor dem Fernseher, Gerät ist (vom Sofa aus hörbar) komplett durchgelaufen!?!? und wurde hierbei höchstens 2 mal kurz für je eine Bierentnahme geöffnet. Kann das normal sein bei einem Gerät dieser Klasse?? Kann hier jemand was dazu sagen?

Ein Strom/ Energiemessgerät muss nun her, was mich eigentlich interessiert, ist der Verbrauch."
;75;02. Sep 12;Theo 18;;5;Super Gerät;"Sind mit dem Gerät sehr zufrieden. Es hält was es verspricht. Die Lieferung war schnell und problemlos. Ist auf jeden Fall zu empfehlen. So lange es blubbert und zischt ist alles gut ;-)"
;76;05. Sep 12;Kunde aus Mannheim;;5;Versandkostenfrei an den Aufstellungsort;"Ware und Verpackung sind einwandfrei. Die einzige Katastrophe ist allerdings die Lieferung. Der Subunternehmer von DHL (Spedition) lieferte die Ware bis zum Treppenhaus. Wie man die Ware in die Wohnung bekommt, war dann unser Problem. Das Altbau-Treppenhaus wurde durch den Subunternehmer als ""Wendelaufgang"" deklariert. Laut DHL war die Ware damit geliefert. Leider kam bei DHL und dem Subunternehmer niemand auf die Idee die auffällig große Verpackung und das hohe Gewicht im Vorfeld zu beachten, um entweder richtige Möbelpacker oder zumindest drei Hiwis zu schicken.
@Amazon: Bitte stellen Sie das nächste Mal wirkliche Profis an, um die Ware zuzustellen. Wir als Kunden zahlen für eine einwandfreie Lieferung auch sehr gern ein Aufgeld, wenn die Lieferung dann auch funktioniert.

Nun zum Produkt:
Der Kühlschrank macht einen soliden Eindruck. Alle Teile sind unversehrt. Wir haben den Kühlschrank aufgrund des Prädikats ""Testsieger"" gekauft.
Dieses Prädikat erfüllt das Gerät vollkommen. Wir sind sehr zufrieden. Alle Teile sind einwandfrei verbaut. Der Kühlschrank schließt sehr gut. Sobald die Tür mehr als eine Minute offen steht, ertönt ein Alarmsignal. Sofern die Tür länger offen war, springt sofort das Aggregat an. Dabei ist die Lautstärke absolut normal. Laute Klackgeräusche konnte ich bisher nicht feststellen. Ganz im Gegenteil: Wir finden den Kühlschrank angenehm leise.

Ein absolut empfehlenswertes Gerät."
;77;05. Sep 12;Blubb;;5;Rundum zufrieden;Wir sind sehr zufrieden mit dieser kühl-gefrierkombi! viel platz und schön übersichtlich! und die oftmals bemäkelte lautstärke kann ich nicht bestätigen! macht eben normale kühlschrankgeräusche, aber keineswegs zu laut!
;78;06. Sep 12;Katharina;;5;"Siemens Kühl-Gefrierkombination Top; Lieferung Flop";"Habe meinen Kühlschrank erst heute erhalten und noch nicht in Betrieb genommen,daher kann ich vorab nur die Optik bewerten und daran gibt es nichts auszusetzen.Ein ausführlicher Bericht folgt.Vielmehr wollte ich einen der beiden Lieferanten der Hermes Logistik bewerten,wo Service und Freundlichkeit an 5 Stelle stehen.Vereinbart wurde,dass ich 2 Stunden vor Ankunft telefonisch benachrichtigt werde,um mir evtl Überstunden zu nehmen.Anruf ging um 15.22 ein,war schon zum Glück auf dem Heimweg.Lieferanten standen schon um 15.55vor meiner Haustür,wobei sich ein Lieferant darüber erboste,dass er nichts von einem Auftrag weiss,das er den alten zum entsorgen mitnehmen sollte,darüber,dass der alte zu groß sei,dass die Türen des Kühlers erst abmontiert wurden,als sie schon vor Ort waren und das das Wasser aus dem Schlauch noch nicht abgelaufen war. Naja ,lieber Lieferant; das waren 1,5 Stunden Vorbereitungszeit,die mir gefehlt haben.Der Herr Lieferant wurde ungehalten und betonte mit erhobener Stimme dass es ja schön ist,dass ich nur bis 15.00 arbeite,dass er schließlich einen 12 Stunden Tag hat,und forderte meinen vor kurzem operierten Bruder auf mit anzupacken,damit es schneller geht.Beim ruppigen Hinausschieben,zerkratzte der Boden an mehreren Stellen.Auf die Aufforderung den Kühlschrank evtl anzuheben,hat der Fahrer wutentbrannt die Wohnung verlassen und behauptet,dass der K.noch nass ist und Ihn dann jemand anders holen kann. Kühlschrank wurde im recht engen Treppenhaus abgestellt und versperrt den Durchgang für die Nachbarn.Warte jetzt auf einen neuen Transport,der das Altgerät abholt und hoffe,dass bis dahin keiner einen Flucht-und Rettungsweg braucht. Fazit:Ich bin nicht für die Berufswahl des Lieferanten verantwortlich,denn jeder sucht sich seinen Beruf selbst aus.Sonstiger Herms-Service war zur vollsten Zufriedenheit!!!
10.09.2012 Nachtrag; Kühlschrank in Betrieb-Sehr leiser Kühlschrank im vergleich zum alten. Unterteilung ist prima.Praktisch ist der Getränkehalter,den man wegklappen kann,wenn man ihn nicht braucht.
"
;79;07. Sep 12;Protocom;;3;Gewöhnungsbedürftige Geräuschkulisse;"Grundlage für die Wahl dieser Kühl-Gefrierkombination waren der Testbericht der Stiftung Warentest, die Rezensionen bei Amazon zu diesem Produkt, das Preis-Leistungsverhältnis auf der Basis der technischen Daten, die erwartet problemlose Anlieferung durch Amazon und die kostenlose Rücknahme des Altgerätes unter erschwerten Bedingungen (Wohnung im 5. Stock unterm Dach).

Die Anlieferung erfolgte in dem vereinbarten Terminrahmen, allerdings ohne die in den Lieferkonditionen festgelegte, vorherige telefonische Anmeldung durch den Spediteur 1 Stunde vor Anlieferung.
Anlieferung, Abtransport Altgerät und Mitnahme der Verpackung waren absolut ok.
Gerät war in Ordnung, Transportsicherungen völlig ausreichend.

Aufteilung der Fächer und Schubladen sinnvoll, aber nichts besonderes, ausser vielleicht die herunterklappbare Flaschenablage, unter der man dann allerdings nur noch sehr flache Dinge ablegen kann (Käse- und Wurst-Blister). Schiebefach oben in der Türe keine so gute Idee, offene Ablage wäre besser.
Den mitgelieferten Eiswürfelbehälter kann man getrost gleich entsorgen, Würfel zu klein und das Lösen der Würfel wegen des harten Kunsstoffes schwierig.
Folientasten für die Temepratureinstellung funktionieren nur bei starkem Druck auf eine bestimmte Stelle. Könnte besser sein. Ansonsten Anzeige und Bedienung ok.
Im Grunde ist die Ausleuchtung akzeptabel, aber nicht optimal. Die Beleuchtung nur vorne hätte man durch LED`s im Bereich der Rückwand ergänzen können, so viel kosten die Dinger ja nicht.

Was aber wirklich nervt, sind diese Blubbergeräusche wenn der Kühlschrank läuft. Die können eine ganze Weile auftreten und sind sowohl bei geschlossener als auch bei offener Kühlschranktür zu hören. So etwas habe ich noch bei keiner anderen Kühl-Gefrierkombination erlebt. Der Kompressor selbst ist nicht zu hören, nur die Strömungs- und Blubbergeräusche in der Leitung und im Wärmeübertrager.
Man hört auch den Umlüfter im Kühlbereich, recht leise, aber hörbar (auch bei geschlossener Türe). Stört auch nicht so sehr, ist mir aber so auch bei anderen Geräten noch nicht vorgekommen.

Über Kühlfunktion und Stromverbrauch kann ich noch nichts sagen, dass muß die Erfahrung zeigen.

Fazit:
Preis-Leistungsverhältnis ist in Ordnung, kein Schnäppchen, aber man bekommt wofür man bezahlt hat.
Ohne die Blubbergeräusch 4 Sterne, wegen der Geräusche zwischen 2 und 3. Hier muß der Hersteller was tun."
;80;10. Sep 12;"L. + T. 7Schuh ""Odenwälder""";;5;Spitzengerät;"Auf der Suche nach einer neuen Kühl-/Gefrierkombi wurden wir mit dem KG39EAL40 schnell fündig.

Unsere Anforderungen: Sparsam und Geräumig...

Mit 339 Liter ist er nun doppelt so groß uns verbraucht dabei mit 159 KW/Jahr mehr
als 100KW weniger als unsere alte Kombi die zu seiner Zeit auch schon Energieeffizienz A hatte...

Die Verarbeitung ist allgemein Top.

Viele schrieben das der Kühlschrank sehr laut wäre, das kann ich aber nicht bestätigen. Im vergleich zum alten KS
deutlich leiser... Natürlich hört man immer etwas den Kompressor und den Lüfter und hin und wieder mal ein Gluggsen
was aber völlig normal ist.

Wer auf der Tür statt Siemens lieber Bosch stehen haben möchte, kann zu den baugleichen Geräten von Bosch
zurückgreifen. Wir haben uns letztlich für Siemens entschieden, da die Geräte hier etwas günstiger
waren.
Farblich kann man zwischen Weis, Edelstahl und Edelstahl-Look entscheiden.

Der Kauf und Versand lief über Amazon wie immer Problemlos.
Die Terminzustellung über die Spedizion absolut spitze."
